product_id,category,subcategory,title,brand,silhouette,neckline,sleeve,length,material,pattern,color,style,fit,season,occasion,size_system,size_type,sizes,price_usd,currency,stock,care,country_of_origin,description,image_url
SEED-1000,Apparel,Dress,Blush Pink Sheath Dress,TrendTetra,Sheath,Off-shoulder,Sleeveless,Mini,Linen,Striped,Burgundy,Romantic,Tailored,All-season,Casual,UK,Plus,"6,10,14",67.9,USD,34,Hand wash,US,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1000
SEED-1001,Apparel,Dress,Blush Pink Wrap Dress,Delta Closet,Sheath,Round,Long,Mini,Polyester,Abstract,Brown,Edgy,Relaxed,Spring,Brunch,EU,Plus,"38,34,40,36,42",63.73,USD,24,Machine wash cold,CN,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1001
SEED-1002,Apparel,Dress,Royal Blue Sheath Dress,FragFit,Sheath,Off-shoulder,3/4,Ankle,Polyester,Polka Dot,Mint,Romantic,Relaxed,Summer,Wedding Guest,UK,Plus,"10,8,14,6,12",134.3,USD,4,Dry clean only,US,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1002
SEED-1003,Apparel,Dress,Burgundy Mini Dress,Delta Closet,A-line,Sweetheart,Sleeveless,Midi,Viscose,Plaid,Ivory,Sporty-chic,Regular,All-season,Prom,UK,Regular,"8,14,12,10,6",74.33,USD,25,Dry clean only,EU,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1003
SEED-1004,Apparel,Dress,Mustard Empire Dress,Delta Closet,Wrap,Square,Cap,Ankle,Linen,Solid,Beige,Elegant,Regular,Summer,Vacation,US,Plus,"S,XL,M,L",79.53,USD,24,Dry clean only,EU,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1004
SEED-1005,Apparel,Dress,Navy Mini Dress,Delta Closet,Sheath,Halter,Long,Knee,Wool Blend,Solid,Navy,Sporty-chic,Tailored,Summer,Party,UK,Regular,"14,6,10,12",87.23,USD,19,Dry clean only,US,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1005
SEED-1006,Apparel,Dress,Black Sheath Dress,Delta Closet,Slip,Sweetheart,Sleeveless,Knee,Knit,Floral,Ivory,Vintage,Tailored,Winter,Work,US,Plus,"S,XS,M,XL",110.1,USD,8,Dry clean only,EU,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1006
SEED-1007,Apparel,Dress,Gold Wrap Dress,Aardrop,Empire,Boat,Long,Maxi,Wool Blend,Floral,Burgundy,Sporty-chic,Regular,Spring,Prom,UK,Regular,"10,12,6",70.3,USD,14,Dry clean only,US,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1007
SEED-1008,Apparel,Dress,Sky Blue Sheath Dress,TrendTetra,Wrap,Halter,One-shoulder,Ankle,Satin,Lace,Blush Pink,Minimalist,Tailored,All-season,Date Night,US,Petite,"XS,S,XL",63.22,USD,30,Hand wash,US,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1008
SEED-1009,Apparel,Dress,Emerald A-line Dress,Monleaf,A-line,Off-shoulder,One-shoulder,Midi,Linen,Striped,Red,Elegant,Regular,All-season,Brunch,US,Regular,"L,M,S",133.28,USD,17,Hand wash,US,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1009
SEED-1010,Apparel,Dress,Burgundy Fit-and-Flare Dress,TryLoop,Shirt Dress,High-neck,Short,Ankle,Cotton,Polka Dot,Sage,Classic,Regular,Winter,Wedding Guest,US,Petite,"XL,XS,L,M",82.1,USD,35,Dry clean only,EU,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1010
SEED-1011,Apparel,Dress,White Bodycon Dress,Lunbee,A-line,High-neck,Cap,Maxi,Silk,Solid,Lilac,Sporty-chic,Regular,Summer,Work,US,Plus,"M,S,XS",39.08,USD,15,Hand wash,TR,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1011
SEED-1012,Apparel,Dress,Olive Mini Dress,Mover,Midi,Collared,3/4,Midi,Satin,Abstract,Burgundy,Classic,Relaxed,Winter,Cocktail,UK,Plus,"14,6,10",116.32,USD,29,Hand wash,TR,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1012
SEED-1013,Apparel,Dress,Navy Fit-and-Flare Dress,Delta Closet,Sheath,Sweetheart,3/4,Midi,Silk,Geometric,Violet,Sporty-chic,Tailored,Fall,Date Night,US,Plus,"XL,XS,L,M",66.74,USD,35,Hand wash,TR,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1013
SEED-1014,Apparel,Dress,Royal Blue Midi Dress,FragFit,Bodycon,Sweetheart,One-shoulder,Midi,Denim,Geometric,Navy,Edgy,Regular,Spring,Vacation,US,Petite,"XS,XL,M,L",54.85,USD,21,Machine wash cold,CN,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1014
